United States,,,,
number,Location,Code,Type,Amazon warehouse address
82,California,KRIV,,"17101 Heacock St, Mareno Valley, CA"
83,California,LAX2,Logistics,"5650 Dolly Ave, Buena Park, CA 90621, United States"
84,California,LAX5,SC,"6400 Valley View St, BUENA PARK"
85,California,LAX6,FC,"5119 District Blvd, Los Angeles, CA 90058"
86,California,LAX8,,"30142 Avenida De Las Banderas, Rancho Santa Margarita, CA"
87,California,LAX9,FC,"11263 Oleander Ave, Building 1, Fontana, California, 923378006 , San Bernardino County"
88,California,LGB1,FC,"2417 E. Carson St, Long Beach, California, 90810 , Los Angeles County"
89,California,LGB2,,"6049 E 7th St, Long Beach, CA"
90,California,LGB3,FC,"4590 Goodman Way, Building 1, Eastvale, CA 91752-5088"
91,California,LGB4,FC,"27517 Pioneer Ave, Redlands, CA 92374"
92,California,LGB5,FC,"555 East Orange Show Rd. San Bernardino, CA 92408-2453 – San Bernardino County"
93,California,LGB6,FC,"20901 Krameria Ave, Riverside, CA 92518-1513"
94,California,LGB7,FC,"1660 N. Locust Ave., Rialto, CA 92376 , San Bernardino"
95,California,LGB8,FC,"1568 N Linden Ave, Rialto, CA 92376"
96,California,LGB9,FC,"4375 N Perris Blvd, Perris, California, 92571 , Riverside County"
97,California,OAK3,FC,"255 Park Center Drive, Patterson City, CA 95363-8876"
98,California,OAK4,FC,"1555 N. Chrisman Road, Tracy, CA 95304-9370"
99,California,OAK5,SC,"38811 Cherry Street, Newark, CA 94560"
100,California,OAK6,FC,"38811 Cherry Street, Newark, California, 94560-4939"
101,California,OAK7,FC,"38811 Cherry St, Newark, CA 94560"
102,California,OAK8,FC,"1 Middleton Way, American Canyon, CA 94503"
103,California,ONT2,FC,"1910 E Central Ave, San Bernardino, CA 92408, United States"
104,California,ONT5,SC,"2020 E Central Avenue, Southgate Building 4, San Bernardino, CA 92408-2606"
105,California,ONT6,FC,"24208 San Michele, Moreno Valley, CA 92551"
106,California,ONT7,FC,"2020 E Central Avenue, Southgate Building 4, San Bernardino, CA 92408-2606"
107,California,ONT8,FC,"24300 Nandina Ave., Moreno Valley, California, 92551-9534"
108,California,ONT9,FC,"2125 W San Bernardino Ave, Redlands, CA, United States"
109,California,PCA1,FC,"1565 N MacArthur Drive, Tracy, California 95376 , San Joaquin County (Seasonal facility)"
110,California,PCA2,FC,"1650 East Central Avenue, San Bernardino, California, 92408 , San Bernardino County (Seasonal facility)"
111,California,PCA3,,"1660 N. Linden Ave., Rialto, CA"
112,California,PSP1,DC,"1010 West Fourth Street, Beaumont, California, 92223 , Riverside County"
113,California,RCA1,FC,"8411 Market St, San Francisco, CA 94103"
114,California,RCA2,FC,"500-534 Beryl St, RedondoBeach, CA 90277"
115,California,RCA3,FC,"1395-1405 Lincoln Blvd, Santa Monica, CA 90401"
116,California,RCA4,FC,"2900 Alton Pkwy, Irvine, CA 92606"
117,California,RCA5,FC,"101 S Main St, LosAngeles, CA 90012"
118,California,RCA6,FC,"402w Broadway, San Diego, CA 92101"
119,California,RCA7,FC,"195-199 E Santa Clara St, San Jose, CA 95113"
120,California,RCA8,FC,"Campanile Way, Berkeley, CA 94709"
121,California,RELO,,"201 Spear St, San Francisco, CA"
122,California,RLA4,FC,"111 S Anaheim Blvd, Anaheim, CA 92805"
123,California,RSJ1,FC,"2710 N 1st St, SanJose, CA 95134"
124,California,SAX1,,"4041 PECK RD, EL MONTE, CA"
125,California,SAX2,,"2246 S GRAND AVE, SANTA ANA, CA"
126,California,SBD2,,"1601 E 3rd St, San Bernardino, CA"
