United States,,,,
number,Location,Code,Type,Amazon warehouse address
365,Georgia,VUPN,FC,"340 Westridge Parkway, McDonough, GA 30253"
366,Georgia,VUPY,,"2501 Rockhouse Road, Lithia Springs, GA"
367,Georgia,VUQI,,"512 Liberty Expressway, Albany, GA"
368,Georgia,VUTE,,"1020 SH Morgan Pkwy, Pooler, GA"
369,Georgia,XEW1,,"6855 SHANNON PKWY, UNION CITY, GA"
370,Georgia,XLAH,,"580 Raco Pkwy Pendergrass, GA 30567"
371,Georgia,VUPK,FC,"6720 Oakley Industrial Blvd, Union City, GA 30291"
372,Georgia,ATL5,,"4190 Jiles Rd, Kennesaw GA 30144"
373,Illinois,CHI1,,"750 S Halsted St, Student Center East, #214, Chicago, IL"
374,Illinois,CHI3,,"2720 N Clark St, Chicago, IL"
375,Illinois,CMI1,,"809S Wright Street, Champaign, IL"
376,Illinois,DCH1,FC,"2801 S. Western Ave., Chicago, IL 60608"
377,Illinois,DCH2,FC,"8220 Austin Ave., Morton Grove, IL 60053"
378,Illinois,DCH3,FC,"4500 Western Ave., Lisle, IL 60532"
379,Illinois,DCH4,FC,"3 S Lake St, Mundelein, IL 60060"
380,Illinois,DHO1,FC,"501-505 Ridgemoor Dr, Willowbrook, IL 60527"
381,Illinois,FIL1,FC,"1162 N Hickory Ave, ArlingtonHeights, IL 60004"
382,Illinois,FIL2,FC,"110 E Irving Park Rd, Wood Dale, IL 60191"
383,Illinois,HIL1,FC,"1111 Cherry Street, Chicago, IL 60642"
384,Illinois,HIL2,FC,"1111 N Cherry Ave, Chicago, IL 60642"
385,Illinois,HLU1,,"3931 Lakeview Corporate Drive, Edwardsville, IL 62025 – Madison County"
386,Illinois,HMW1,FC,"30260 Graaskamp Blvd, Wilmington, Illinois 60481 , Will County"
387,Illinois,ICH5,,"111 E Wacker Dr, Chicago, IL"
388,Illinois,ICT1,,"1250 N Mittel Blvd, Wood Dale, IL"
389,Illinois,KIL1,,"3900 S Brandon Rd, Elwood, IL"
390,Illinois,MDW1,FC,"Greater Chicago Area, Joliet, IL 60433"
391,Illinois,MDW2,FC,"250 Emerald Drive Joliet,IL 60433-3280 United States"
392,Illinois,MDW4,FC,"201 Emerald Drive, Joliet, IL 60433"
393,Illinois,MDW5,FC,"1125 W Remington Blvd, Romeoville, IL 60556"
394,Illinois,MDW6,FC,"1125 Remington Blvd, Romeoville, IL 60446"
395,Illinois,MDW7,FC,"6521 W Monee Manhattan Road, Monee, IL 60449"
396,Illinois,MDW8,FC,"1750 Bridge Dr., Waukegan, IL 60085-3004"
397,Illinois,MDW9,FC,"2865 Duke Parkway, Aurora, IL 60502-9551"
398,Illinois,MDWX,FC,"2801 S. Western Ave, Chicago, IL 60608"
399,Illinois,MDWY,FC,"Route 59, Aurora, IL 60563"
400,Illinois,MDWZ,FC,"Route 59, Aurora, IL 60563"
401,Illinois,ORD3,,"24101 S Frontage Rd W, CHANNAHON, IL"
402,Illinois,ORD6,FC,"1250 N Mittel Blvd, Wood Dale, Illinois, US"
403,Illinois,PIL1,FC,"801 Midpoint Road, Minooka, Illinois 60047 , Lake County (Seasonal facility)"
404,Illinois,RCH1,FC,"701-1899 Fellows Pl, NorthChicago, IL 60064"
405,Illinois,RIL1,FC,"310 S Federal St, Chicago, IL 60604"
406,Illinois,SIL1,,"2379 Davey Rd, WOODRIDGE, IL"
407,Illinois,SIL2,,"900 W BLISS ST, CHICAGO, IL"
408,Illinois,SKPN,,"Mundelein, IL, 60060. SKTB, Montgomeryville"
409,Illinois,SLT7,FC,"3931 Lakeview Corporate Dr., Edwarsville, IL 62025"
410,Illinois,STL4,FC,"3050 Gateway Commerce Center Drive South, Edwardsville, IL 62025"
411,Illinois,STL6,FC,"3931 Lakeview Corporate Drive, Edwardsville, IL 62025"
412,Illinois,STL7,FC,"3931 Lakeview Corporate Drive, Edwardsville, IL 62025"
413,Illinois,SUAP,,"23824 W. Andrew Rd., Plainfield, IL"
414,Illinois,SUEI,,"8 GALAXY WAY, Woodstock, IL"
415,Illinois,SUEJ,,"9462 Franklin Avenue, Franklin Park, IL"
416,Illinois,SUGD,,"6033 N Sheridan Rd, Chicago, IL"
417,Illinois,SUON,,"1703 S Veterans Pkwy, Bloomington, IL"
418,Illinois,SUPG,,"3725 Swenson Rd, St Charles, IL"
419,Illinois,SUSF,,"840 Wheeling Rd, Wheeling, IL"
420,Illinois,TBD2,FC,"1111 N Cherry Ave, Goose Island, IL 60642"
421,Illinois,TBD3,FC,"401 E Laraway Road, Joliet, IL 40433"
422,Illinois,TBD7,FC,"2801 S. Western Ave, Chicago, IL 60608"
423,Illinois,TIL1,FC,"1111 N Cherry Street, Chicago, IL 60642"
424,Illinois,UIL1,FC,"1162 N Hickory Ave, ArlingtonHeights, IL 60004"
425,Illinois,UIL2,FC,"1250 N Mittel Blvd, Wood Dale, IL 60191"
426,Illinois,VUOK,FC,"21837 W. Mississippi Ave, Elwood, IL 60421"
427,Illinois,VUPS,,"3049 Westway Drive, Edwardsville, IL"
428,Illinois,VUTG,,"100 E MILLSDALE RD, Elwood, IL"
429,Illinois,VUWI,,"4015 Lakeview Corporate Drive, EDWARDSVILLE, IL"
430,Illinois,XLAB,,"1701 Normantown Rd, Romeoville, IL"
431,Illinois,XUSN,,"4200 Ferry Rd, Aurora, IL"
432,Indiana,DIN1,FC,"1861 Monument Cir, Indianapolis, IN 46204"
433,Indiana,IND1,FC,"4255 Anson Boulevard, Whitestown, IN 46075"
434,Indiana,IND2,FC,"715 Airtech Parkway, Plainfield, IN 46168"
435,Indiana,IND3,FC,"717 Airtech Parkway, Plainfield, IN 46168"
436,Indiana,IND4,FC,"710 South Girls School Road, Indianapolis, IN 46214"
437,Indiana,IND5,FC,"800 S Perry Road, Plainfield, IN 46168"
438,Indiana,IND6,FC,"1453 10th Street, Jeffersonville, IN 47130"
439,Indiana,IND7,FC,"9101 Orly Dr, Indianapolis, IN 46241"
440,Indiana,IND8,Return Center,"710 South Girls School Rd. Indianapolis, IN 46214 – Marion County"
441,Indiana,IND9,Logistics service,"1151 S GRAHAM RD, Greenwood, Indiana, US"
442,Indiana,MQJ2,,"19 Bob Glidden Blvd, Whiteland, IN"
443,Indiana,PIN1,FC,"6161 Decatur Blvd, Indianapolis, Indiana 46241 , Marion County (Seasonal Facility)"
444,Indiana,PISA,FC,"900 Patrol Rd, Jeffersonville, IN 47130"
445,Indiana,PUR1,,"1198 Third Street, Krach Leadership Center Room 169, West Lafayette, IN"
446,Indiana,SDF8,FC,"900 Patrol Road, Jeffersonville, IN 47130"
447,Indiana,SUOJ,,"1615 Fletcher Ave, FORT WAYNE, IN"
448,Indiana,TIN1,,"710 S. Girls School Road, Indianapolis, IN"
449,Indiana,UIN1,FC,"505 S Tibbs Ave, Indianapolis, IN 46241"
450,Indiana,VUHA,FC,"700 Chase Street, Gary, IN 46404"
451,Indiana,VUMC,FC,"650 Commerce Pkwy W Drive, Greenwood, IN 46143"
452,Indiana,VUQD,,"3101 IN-62, Mt Vernon, IN"
453,Indiana,VUQF,,"2100 Innovation Blvd, Mooresville, IN"
454,Indiana,VUQH,,"381 Airtech Pkwy, Plainfeild, IN"
455,Indiana,VUQO,,"2425 E. Perry Rd, PLAINFIELD, IN"
456,Indiana,XUSE,FC,"5100 S Indianapolis Road, Whitestown, IN 46075"
457,Kansas,MCI1,FC,"113th Street and Renner Boulevard, Lenexa, KS, 66219"
458,Kansas,MCI5,SC,"16851 W 113th Street, Lenexa, KS 66219"
459,Kansas,MCI7,FC,"27200 W 157th St, New Century, KS 66031"
460,Kansas,MCIX,FC,"113th Street and Renner Boulevard, Lenexa, KS 66219"
461,Kansas,MKC4,FC,"19645 Waverly Road, Edgerton, KS 66021-9588"
462,Kansas,MKC6,FC,"6925 Riverview Ave., Kansas City, KS 66102"
463,Kansas,TUL1,FC,"2654 N US Highway 169 Coffeyville, KS 67337"
464,Kansas,XUSK,FC,"31450 W 196th St., Edgerton, KS 66021"
465,Kentucky,CVG1,FC,"1155 Worldwide Blvd. Hebron, KY 41048"
466,Kentucky,CVG2,FC,"1600 Worldwide Blvd. Hebron, KY 41048"
467,Kentucky,CVG3,FC,"3680 Langley Drive, Hebron, KY 41048"
468,Kentucky,CVG5,Logistics Center,"2285 Litton Ln, Hebron, KY 41048, United States"
469,Kentucky,CVG7,SC,"2285 Litton Ln, Hebron, KY 41048, United States"
470,Kentucky,CVG8,FC,"7968 Kentucky Dr, Suites 23, Florence, Kentucky 41042 , Boone County"
471,Kentucky,DKY1,FC,"409 S 5th St, Louisville, KY 40202"
472,Kentucky,IVSA,FC,"4620 Olympic Blvd, Erlanger, Kentucky 41018 , Kenton County"
473,Kentucky,IVSB,FC,"3521 POINT PLEASANT RD, Hebron, Kentucky, US"
474,Kentucky,LEX1,FC,"1850 Mercer Road, Lexington, KY 40511"
475,Kentucky,LEX2,FC,"172 Trade Street, Lexington, Kentucky 40511"
476,Kentucky,LEX3,FC,"1850 Mercer Rd Lexington, KY 40511 – Fayette County"
477,Kentucky,PICV,FC,"1155 Worldwide Blvd., Hebron, KY 41048"
478,Kentucky,PISB,FC,"376 Zappos.com Blvd, Shepherdsville, KY 40165"
479,Kentucky,PISC,FC,"271 Omega Parkway, Shepherdsville, KY 40165"
480,Kentucky,SDF1,FC,"1105 S Columbia Avenue, Campbellsville, KY 42718"
481,Kentucky,SDF2,FC,"4360 Robards Lane, Louisville, KY 40218"
482,Kentucky,SDF4,FC,"376 Zappos.com Boulevard, Shepherdesville, KY 40165"
483,Kentucky,SDF6,FC,"271 Omega Parkway, Shepherdsville, KY 40165"
484,Kentucky,SDF7,FC,"300 Omicron Court, Shepherdsville, KY 40165"
485,Kentucky,SDF9,FC,"100 W. Thomas P. Echols Lane, Shepherdsville, KY 40165"
486,Kentucky,SU2A,,"1201 Aviation Blvd, Hebron, KY"
487,Kentucky,SUAA,,"1201 Aviation Blvd, Hebron, KY"
488,Kentucky,SUBH,,"817 Winchester Rd, Suite 130, Lexington, KY"
489,Kentucky,SUDA,,"8179 Dixie Hwy, Suite 200, Florence, KY"
490,Kentucky,SUDB,,"8179 Dixie Highway, Suite 200, Florence, KY"
491,Kentucky,SUSA,,"7201 Intermodal Dr, Suite C, Louisville, KY"
492,Kentucky,VUVC,,"2500 Export Dr, Door 1, Louisville, KY"
493,Kentucky,CVG9,Warehouse,"2305 Litton Ln, Hebron, KY 41048, United States"
494,Louisiana,DLB1,,"10021 Professional Blvd, Baton Rouge, LA 70809, United States"
495,Louisiana,DNO1,FC,"337 Carondelet St, NewOrleans, LA 70130"
496,Maine,SUHX,,"104A GLENN ST, LAWRENCE, ME"
497,Maryland,BWI0,FC,"2010 Broening Highway, Baltimore, MD 21224"
498,Maryland,BWI5,SC,"5501 Holabird Avenue, Baltimore, MD 21224"
499,Maryland,DBA1,FC,"3800 E Baltimore St, Baltimore, MD 21224"
500,Maryland,DCA1,FC,"1700 SPARROWS POINT BLVD, SPARROWS POINT, MD 21219"
501,Maryland,DDC2,FC,"861 E Gude Drive, Rockville, MD 20850"
502,Maryland,HBA1,DC,"1100 Woodley Rd, Aberdeen, Maryland 210014042 , Harford County"
503,Maryland,HSE1,,"13905 Crayton Blvd, Hagerstown, Maryland 21742 , Washington County"
504,Maryland,MAS1,,"220 Campus Center, 1 Campus Center Way, Amherst, MA"
505,Maryland,MDT2,FC,"600 Principio Parkway West, North East, MD 21901-2914"
506,Maryland,RMD1,FC,"201-211 E Fayette St, Baltimore, MD 21202"
507,Maryland,SMA1,,"5 5TH ST, PEABODY, MA"
508,Maryland,SUHM,,"142 Franklin St, Melrose, MA"
509,Maryland,SUOC,FC,"8750 Larkin Rd, Savage, MD 20763"
510,Maryland,SUSK,,"153 Washington St, 1st Floor, East Walpole, MA"
511,Maryland,SUSL,,"153 Washington St, 1st Floor, East Walpole, MA"
512,Maryland,TBD,FC,"1600 Sparrow Point B…, Dundalk, MA"
513,Maryland,TMA3,,"30 Northampton Street, Boston, MA"
514,Maryland,UMA4,,"201 Beacham St, Chelsea, MA"
515,Maryland,XUSP,Warehouse,"1100 Woodley Rd, Aberdeen, MD 21001, United States"
516,MaryLand,Mar1,,"4200 Guilford Dr, Suite B1, College Park, MD"
517,MaryLand,DCA6,,"6001 Bethlehem Blvd, Baltimore, MD"
518,MaryLand,MTN5,,"5300 Holabird Ave, Baltimore, MD"
519,MaryLand,SDC2,,"2 UNIVERSITY BLVD W, SILVER SPRING, MD"
520,MaryLand,TMD1,,"5501 Holabird Ave, Baltimore, MD"
521,MaryLand,XUSL,FC,"610 Chelsea Rd, Aberdeen, MD 21001"
522,MaryLand,XUSM,FC,"610 Chelsea Rd, Aberdeen, MD 21001"
523,Massachusetts,BOS2,Distribution service,"1000 Tech Centre, Drive Stoughton, Massachusetts, US"
524,Massachusetts,BOS3,FC,"Fall River, MA 2720"
525,Massachusetts,BOS5,SC,"1000 Tech Center Drive, Stoughton, MA 02072"
526,Massachusetts,BOS7,FC,"1180 Innovation Way, Fall River, MA 02722"
527,Massachusetts,BOS8,,"870 Commonwealth Ave, Brookline, MA"
528,Massachusetts,BOS9,,"750 Everett St, Norwood, MA"
529,Massachusetts,DB01,FC,"201 Beacham Street, Everett (Chelsea), MA 2149"
530,Massachusetts,DB02,FC,"500 Sprague St., Dedham, MA 2026"
531,Massachusetts,DBO2,FC,"199 Eastern Ave, Dedham, MA 2026"
532,Massachusetts,RMA3,FC,"112-116 Newland St, Boston, MA 2118"
533,Massachusetts,UMA3,FC,"30 Northampton Street, Boston, MA 2118"
534,MDW3,Illinois,FC,"809 S Wright St, Champaign, IL 61820, United States"
535,Michigan,DTW5,SC,"19991 Brownstown Center Dr, Brownstown Charter Twp, MI 48183, United State"
536,Michigan,DET2,FC,"50500 Mound Rd, Shelby Township, MI 48317"
537,Michigan,DTW2,FC,"32801 Ecorse Rd, Romulus, MI 48174, United States"
538,Michigan,DTW3,FC,"23 mile and mound roads, Shelby, MI, 48316"
539,Michigan,GRR1,FC,"4500 68th St. SE, Caledonia (Gaines Township), Michigan 49316 , Kent County"
540,Michigan,SUHH,,"45410 Van Dyke, Utica, MI"
541,Michigan,SUSI,,"7194 Big Sky Drive Suite 5, Holly, MI"
542,Michigan,SUTA,,"4503 Airwest DR SE, Kentwood, MI"
543,Michigan,UMI2,,"999 Chicago Road, Troy, MI"
544,Michigan,XUSR,,"5425 Dixie Highway, Saginaw, MI"
545,Michigan,DET1,FC,"39000 Amrhein Rd, Livonia, MI 48150"
546,Michigan,DTW1,FC,"39000 Amrhein Rd., Livonia, MI 48150-1043"
547,Minnesota,ATL9,FC,"2232 Northmont Parkway, Duluth, GA 30096"
548,Minnesota,CLE1,FC,"4641 Warrensville Ce… North Randall, 44128"
549,Minnesota,DMN1,FC,"2811 Beverly Drive, Eagen, MN 55121"
550,Minnesota,DMS1,FC,"4216 Pilot Knob Rd, Eagan, MN 55123"
551,Minnesota,MIN1,,"311 SE Harvard Street, Minneapolis, MN"
552,Minnesota,MSP1,FC,"2601 4th Avenue East, Shakopee, MN 55379"
553,Minnesota,MSP4,,"10608 HUDSON RD, WOODBURY, MN"
554,Minnesota,MSP5,SC,"5825 11th Avenue East, Shakopee, MN 55379"
555,Minnesota,MSP9,Warehouse,"9001 Wyoming Ave N, Brooklyn Park, MN 55445, United States"
556,Minnesota,RMN1,FC,"301-399 S 4th St, Minneapolis, MN 55401"
557,Minnesota,RMN2,FC,"301-399 S 4th St, Minneapolis, MN 55401"
558,Minnesota,SUHV,,"10335 Naples ST NE, Blaine, MN"
559,Minnesota,SUVA,,"8933 Lyndale Ave S, Bloomington, MN"
560,Minnesota,TMN1,,"763 Kasota Ave, Minneapolis, MN"
561,Minnesota,UMN1,FC,"763 Kasota Ave., Minneapolis, MN 55414"
562,Minnesota,UMN2,,"6105 Trenton Ln N, MINNEAPOLIS, MN"
563,Mississippi,MEM2,FC,"191 Norfolk Southern Way, Chickasaw Trails Industrial Park Byhalia, Mississippi 386112306 , Marshall County"
564,Mississippi,MEM6,,"11505 Progress Way, Olive Branch, MS"
565,Missouri,DLI1,FC,"1200 Market St, St. Louis, MO 63103"
566,Missouri,STL5,SC,"462 Hazelwood Logistics Center Dr, Hazelwood, MO 63042, United States"
567,Missouri,STL8,FC,"4000 Premier Parkway, St. Peters, Missouri 63376 , St. Charles County"
568,Missouri,VUPU,,"14916 STATE HIGHWAY 177, Building 1, Jackson, MO"
569,Missouri,VUPV,,"2001 Premier Pkwy, Saint Peters, MO"
570,Montana,SUEH,,"1760 West Terra Lane, OFallon, MT"
571,Nebraska,SUHA,,"9203 J Street, Omaha, NE"
572,Nebraska,SUHI,,"870 S. 16th St., Aurora, NE"
573,Nebraska,VFSN,,"7401 F ST, OMAHA, NE"
574,Nevada,ICSF,,"2821 MARION DR STE 109, LAS VEGAS, NV"
575,Nevada,IVSE,FC,"2951 MARION DR UNIT 101 LAS VEGAS, NV 89115-3467 United States"
576,Nevada,IVSF,FC,2821 MARION DR STE 109
577,Nevada,LAS1,FC,"12300 Bermuda Road, Henderson, Nevada 89044 , Clark County"
578,Nevada,LAS2,FC,"3837 Bay Lake Trail, Suite 113, Las Vegas, NV 89193-0001"
579,Nevada,LAS5,SC,"4410 Nexus Way, Las Vegas, NV 89115, United States"
580,Nevada,LAS6,FC,"4550 Nexus Way, North Las Vegas, NV 89115"
581,Nevada,LAS7,FC,"6001 E. Tropical Parkway, North Las Vegas, NV , Clark County"
582,Nevada,LASX,FC,"North Lamb Blvd and Tropical Parkway, North Las Vegas, NV 89081"
583,Nevada,OTC1,FC,"257 S Pavilion Center Dr, LasVegas, NV 89144"
584,Nevada,RNO1,FC,"1600 East Newlands Dr. Fernley, NV 89408"
585,Nevada,RNO2,FC,"8000 North Virginia Street Reno, Reno, NV 85906"
586,Nevada,RNO3,FC,"555 Milan Dr, Sparks, Nevada 89434 , Washoe County"
587,Nevada,RNO4,FC,"8000 North Virginia Street, Reno, NV 89506"
588,Nevada,RNV1,FC,"100 E Ogden Ave, Las Vegas, NV 89101"
589,Nevada,TNV2,,"1945 E. Russell Rd, LAS VEGAS, NV"
590,Nevada,UNV1,FC,"3650 East Post Road. Suite E, Las Vegas, NV 89120"
591,Nevada,UNV2,,"1945 E RUSSELL RD SUITES 201-204, Las Vegas, NV"
592,Nevada,UNV3,,"2951 N Marion Dr Suite 101-103, Las Vegas, NV"
593,New Hampshire,BOS1,FC,"10 State Street, Nashua, NH 03063"
594,New Jersey,ABE8,FC,"309 Cedar Lane, Florence Township, NJ 08518"
595,New Jersey,ABEX,FC,"698 Route 46 West, Teterboro, NJ 7608"
596,New Jersey,ACY1,FC,"240 Mantua Grove Rd, West Deptford, NJ 08066"
597,New Jersey,ACY2,FC,"1101 E. Pearl St., Burlington, NJ 080161934 , Burlington County"
598,New Jersey,ACY5,SC,"2277 Center Square Road, Swedesboro, Logan Township, NJ 08085"
599,New Jersey,BFC1,,"380 Middlesex Ave, CARTERET, NJ"
600,New Jersey,DEW1,FC,"2 Empire Boulevard, Moonachie, NJ 7074"
601,New Jersey,DEW2,FC,"1089 E Jersey St, Elizabeth, NJ 7201"
602,New Jersey,DNJ1,,"380 Middlesex Ave, CARTERET, NJ"
603,New Jersey,EWR1,FC,"50 New Canton Way Robbinsville, NJ 08691 – Mercer County"
604,New Jersey,EWR4,FC,"50 New Canton Way, Robbinsville, NJ 08691"
605,New Jersey,EWR5,SC,"301 Blair Road #100, Avenel, NJ 07001"
606,New Jersey,EWR6,FC,"275 Omar Avenue, Avenel, NJ 07001"
607,New Jersey,EWR7,FC,"275 Omar Avenue, Avenel, NJ 07001"
608,New Jersey,EWR8,FC,"698 US-46, Teterboro, NJ 07608"
609,New Jersey,EWR9,FC,"8003 Industrial Avenue, Carteret, NJ 07008"
610,New Jersey,FGA3,FC,"2500 Main Street, LawrenceTownship, NJ 8648"
611,New Jersey,HNJ2,,"940 Monroe Street, Hoboken, NJ"
612,New Jersey,INT2,,"275 Omar Avenue, AVENEL, NJ"
613,New Jersey,IVSC,FC,Uno – West Deptford 1225 Forest Parkway West Deptf
614,New Jersey,IVSD,FC,UNO – Swedesboro NJ 800 Arlington Blvd Swedesboro
615,New Jersey,LGA6,FC,"8003 Industrial Ave. Carteret, NJ 07008-3529"
616,New Jersey,LGA7,FC,"380 Middlesex Avenue, Carteret, NJ 07008"
617,New Jersey,LGA8,FC,"380 Middlesex Avenue, Carteret, NJ 07008"
618,New Jersey,LGA9,FC,"2170 State Route 27, Edison, NJ 08817-3332"
619,New Jersey,PNE2,,"18 Applegate Dr., Robbinsville, NJ"
620,New Jersey,PNE5,Warehouse,"18 Applegate Dr, Robbinsville Twp, NJ 08691, United States"
621,New Jersey,SBPX,,"Somerset, NJ, 8873"
622,New Jersey,SFBG,,LAKEWOOD; NJ; 08701-4053; US
623,New Jersey,SUCD,,"80 Carter Dr., Edison, NJ"
624,New Jersey,SUEG,,"86 Mayfield Ave, Edison, NJ"
625,New Jersey,SUHE,,"239 Old New Brunswick Road Dock 7&8, Piscataway, NJ"
626,New Jersey,SUMA,,"1201 Jersey Avenue, North Brunswick, NJ"
627,New Jersey,SUOE,FC,"74 Kenny Pl, Saddle Brook, NJ 7663"
628,New Jersey,SUOM,,"1230 Highway 34, Aberdeen, NJ"
629,New Jersey,SUPH,,"4201 tonelle ave, North Bergen, NJ"
630,New Jersey,SUPM,,"1-AB Terminal Way, Avenel, NJ"
631,New Jersey,SUPN,,"4201 tonelle ave, North Bergen, NJ"
632,New Jersey,SUWB,,"150 Ethel Road West, Piscataway, NJ"
633,New Jersey,SXWL,,Rockaway; New Jersey; 07866
634,New Jersey,TBD5,FC,"8003 Industrial Ave, Building A, Carteret, NJ 8085"
635,New Jersey,TBDB,FC,"2 Empire Boulevard, Moonachie, NJ 7074"
636,New Jersey,TEB3,FC,"2651 Oldmans Creek Rd, Swedesboro, Logan Township, NJ 08085-4503"
637,New Jersey,TEB6,FC,"22 Highstown-Cranbury Station Road, Cranbury Township, NJ 08512"
638,New Jersey,TTN1,FC,"Florence, NJ 8518"
639,New Jersey,UNJ1,FC,"940 Monroe Street, Hoboken, NJ 7030"
640,New Jersey,VUKI,,"400 Arlington Blvd, Swedesboro, NJ"
641,New Jersey,VUKZ,,"400 Arlington Blvd, Logan Township, NJ"
642,New Jersey,VUME,,"200 Docks Corner Road, Suite 241, South Brunswick, NJ"
643,New Jersey,XIX1,,"18 APPLEGATE DR, ROBBINSVILLE, NJ"
644,New Jersey,XUSQ,,"152 Route 206, Hillsborough, NJ"
645,New York,ALB1,,"1801 Route 9, Rensselaer, New York"
646,New York,BUF5,SC,"4201 Walden Avenue, Lancaster, NY 14086"
647,New York,BUF9,,"4201 Walden Ave, Lancaster, NY"
648,New York,DYY6,DC,"546 Gulf Ave, Staten Island NY 10314-7120 – Richmond County"
649,New York,FDN1,,"80 Grumman Rd, BETHPAGE, NY"
650,New York,JFK2,FC,"1100 Bryant Park, NewYork, NY 10036"
651,New York,JFK7,FC,"7 W. 34th St., New York, NY 10001"
652,New York,JFK8,FC,"546 GULF AVE, STATEN ISLAND, NY 10314"
653,New York,JFK9,,"80 Grumman Rd W, Bethpage, NY"
654,New York,SBU1,,"100 Nicolas Road, Frank Melville Jr. Library, Room E0319, Stony Brook, NY"
655,New York,SUAZ,,"1189 McDonald Ave, Brooklyn, NY"
656,New York,SUBD,,"81 Christopher St, Staten Island, NY"
657,New York,SUEB,,"135 West 36th Street FL 13, New York, NY"
658,New York,SUGA,,"4060 Hylan Blvd, Staten Island, NY"
659,New York,SUGC,,"175 Van Dyke St., Brooklyn, NY"
660,New York,SUHP,,"45 Leone Lane, CHESTER, NY"
661,New York,SUOG,,"19 Robert Pitt Drive, Ste 103, Monsey, NY"
662,New York,SUOP,,"1673 NY-17M, Chester, NY"
663,New York,SUOX,,"19 Robert Pitt Drive STE 103, Monsey, NY"
664,New York,SUPJ,,"4737 van dam street, Long island City, NY"
665,New York,SZBV,,"Copiague, NY, 11726. TAM1, 2800 South"
666,New York,TNY1,,"850 3rd Ave., Brooklyn, NY"
667,New York,TNYA,,"7 W 34th Street, New York, NY"
668,New York,UNY1,FC,"58 Brooklyn Ave, Brooklyn, NY 11216"
669,New York,UNY2,,"1080 Leggett Ave, BRONX, NY"
670,New York,UNY3,,"57-00 49th Place, MASPETH, NY"
671,New York,VUQC,,"2020 Ocean Avenue, Ronkonkoma, NY"
672,New York,ZZZZ,FC,"7 W 34th St, New York, NY 10001, United States"
673,North Carolina,CLT1,SC,"1745 Derita Rd., Concord, NC 28027-3353"
674,North Carolina,CLT2,FC,"10240 Old Dowd Rd, Charlotte, NC 28214"
675,North Carolina,CLT3,FC,"6500 Davidson Hwy, Concord, NC 28027"
676,North Carolina,CLT4,FC,"8000 Tuckaseegee Road, Charlotte, NC 28214 , Mecklenburg County"
677,North Carolina,CLT5,SC,"1745 Derita Road, Concord, NC 28027"
678,North Carolina,DLT1,FC,"101 S Tryon St, Charlotte, NC 28280"
679,North Carolina,GS01,,"1656 OLD GREENSBORO RD, KERNERSVILLE, NC"
680,North Carolina,GSO1,,"1656 Old Greensboro Rd, Kernersville, NC"
681,North Carolina,RDU1,DC,"4851 Jones Sausage Road, Garner, North Carolina 27529 , Wake County"
682,North Carolina,RDU5,SC,"1805 TW Alexander Drive, Durham, NC 27703"
683,North Carolina,SUHL,,"1213 Maple Avenue, Burlington, NC"
684,North Carolina,SUSG,,"500 S Main Street, Mooresville, NC"
685,North Carolina,TNC1,,"300 Dalton Ave., CHARLOTTE, NC"
686,North Carolina,UNC1,FC,"Charlotte, NC 28201"
687,North Carolina,UNC2,FC,"3200 Bush Street, Raleigh, NC 27609"
688,North Carolina,UNC3,,"4525 Statesville Ave, CHARLOTTE, NC"
689,North Carolina,XLBA,,"1123 4th ST SW, Conover, NC"
690,Ohio,CLE3,FC,"1115 Babbitt Rd, Euclid, OH 44132, United States"
691,Ohio,AKC1,,"2400 ROMIG RD, Summit, Ohio"
692,Ohio,CAK1,,"290 E Exchange Street, Akron, OH"
693,Ohio,CIN1,FC,"UC MainStreet, Cincinnati, OH 45219"
694,Ohio,CLE2,Corporate Office,"21500 Emery Rd, North Randall, OH 44128"
695,Ohio,CLE5,SC,"8685 Independence Parkway, Twinsburg, OH 44087"
696,Ohio,CLE6,,"23371 Aurora Road, Bedford Heights, OH"
697,Ohio,CMH0,FC,"11903 National RD SW Etna Township Park, Etna, OH 43062"
698,Ohio,CMH1,FC,"11999 National Road SW Etna, OH 43062-7793 United States"
699,Ohio,CMH2,FC,"2700 Rohr Road, Groveport, OH 43125"
700,Ohio,CMH3,FC,"700 Gateway Blvd., Monroe, OH 450501848 , Warren County"
701,Ohio,CMH4,FC,"1550 W Main St., West Jefferson, Ohio 43162 , Madison County"
702,Ohio,CMH6,FC,"3538 TRADEPORT CT, Lockbourne, Ohio, US"
703,Ohio,DCL1,FC,"790-796 E 222nd St, Euclid, OH 44123"
704,Ohio,DCL2,AMZL,"2823 Gilchrist Rd, Akron, OH 44305, United States"
705,Ohio,DCL3,AMZL,"12111 Debartolo Dr, North Jackson, OH 44451, United States"
706,Ohio,FMD1,FC,"101-199 Mckinley Ave SW, Canton, OH 44702"
707,Ohio,HCM1,FC,"3538 TradePort Ct, Building 2, Lockbourne, OH 43137 – Franklin County"
708,Ohio,KILN,,"150 Ruane Dr, Wilmington, OH"
709,Ohio,LCK1,FC,"Obetz, OH 43207"
710,Ohio,OKC9,,"1155 Babbitt Rd., Euclid, OH"
711,Ohio,OSU1,,"2114 N. High Street, Columbus, OH"
712,Ohio,PCW1,FC,"27400 Crossroads Pkwy, Rossford, OH 43460, United States"
713,Ohio,POH1,FC,"3880 Groveport Road, Obetz, Ohio 43207 , Franklin County (Seasonal Facility)"
